id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/abFrVpEMp5g"", ""Link"")",Emmys General Hospital Montage,01:01,EMMY,05/19/2000,A,,1,1,luckibelle
"=HYPERLINK(""https://youtu.be/ezp7_PetQms"", ""Link"")",2000 Daytime Emmy Awards,3:28,EMMY,05/19/2000,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/olCg33bnbgo"", ""Link"")",2000 Daytime Emmy Awards,1:26:32,EMMY,05/19/2000,A,,1,1,edynsanchez
"=HYPERLINK(""https://youtu.be/ZW4jbvJ0xTY"", ""Link"")",Outstanding Lead Actress in a Drama Series,3:54,EMMY,05/19/2000,A,,1,1,edynsanchez
"=HYPERLINK(""https://youtu.be/2CccF2oUPXM"", ""Link"")",Martha Byrne Daytime Emmy Reel,39:17,EMMY,05/18/2001,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/x951lqhCsTs"", ""Link"")",Lesli Kay Daytime Emmy Reel,29:36,EMMY,05/18/2001,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/ID6hmrwjuGA"", ""Link"")",Crystal Chappell Daytime Emmy Reel,20:09,EMMY,05/17/2002,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/9ljLUjImYMc"", ""Link"")",Vanessa Marcil Daytime Emmy Reel,23:18,EMMY,05/16/2003,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/Il5lVdl7XUI"", ""Link"")",Emmys General Hospital Montage,0:53,EMMY,05/21/2004,A,,1,1,luckibelle
"=HYPERLINK(""https://youtu.be/OPwkXMOVApg"", ""Link"")",Cady McClain Daytime Emmy Win,02:48,EMMY,05/21/2004,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/Ls4oFtn1_6U"", ""Link"")",Natalia Livingston Emmy Reel,22:42,EMMY,05/20/2005,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/7uLsYOn6d3c"", ""Link"")",Erika Slezak Daytime Emmy Reel,16:17,EMMY,05/20/2005,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/kCVHl6jZubc"", ""Link"")",Eden Riegel Daytime Emmy Reel,27:58,EMMY,05/20/2005,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/yYri8QkDutM"", ""Link"")",Deidre Hall hosts Daytime Emmys,05:29,EMMY,05/20/2005,A,P_e341e191,1,3,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/m7aLRcaBixQ"", ""Link"")",Deidre Hall hosts Daytime Emmys,06:22,EMMY,05/20/2005,A,P_e341e191,2,3,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/q8D8Gqo5YIY"", ""Link"")",Deidre Hall hosts Daytime Emmys,05:29,EMMY,05/20/2005,A,P_e341e191,3,3,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/_39Ok8rgsKQ"", ""Link"")",Tom Pelphrey Daytime Emmy,22:50,EMMY,01/01/2006,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/uxgSxl60Ugo"", ""Link"")",Thorsten Kaye and Alicia Minshew,03:06,EMMY,04/28/2006,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/HhcJMNxKqGQ"", ""Link"")",Gina Tognoni Daytime Emmy Reel,19:20,EMMY,04/28/2006,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/YbyxLybDl3o"", ""Link"")",Kim Zimmer Daytime Emmy Reel,22:56,EMMY,04/28/2006,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/MW9EtEW3QFs"", ""Link"")",Jordan Clarke Daytime Emmy Reel,12:09,EMMY,04/28/2006,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/Q-CtW4hiPrE"", ""Link"")",Jennifer Landon Daytime Emmy Reel,19:45,EMMY,04/28/2006,A,,1,1,fyi
